week 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) winkler,Conductivity (mS),,,,,,,,,,,,,,,,,,,,,,,,,,,Nitrite,,,,,,,,,,,,,,,,,Treatment ,PH,Salinity ,Temperature,DO,Conductivity,TDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site 2  R 1,8.17,16.88,21.2,28.1,7.08,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R2 ,8.21,16.98,21.33,28.1,7.36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R3,8.3,17.12,21.5,28.1,8.608,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,8.23,16.99,21.34,28.1,7.68,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.07,0.12,0.15,4.351E-15,0.81,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,5.9,4.89,,,,,,,,,,,,,Phosphorus,,,,,,,,,,,,,,,,,,,,,,,
week 7,,,,,,,,,N/P,,,,,,,,,2,7.79,8.05,,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,,,,,,,,,
water quality ,,,,,,,,,sample ,NO2-(µg/L),NANO2(µg/L),NO2--N(µg/L),P2O5(µg/L),P(µg/L),PO43-(µg/L),,,3,7.08,7.64,,,,,,,,,,,,,3,28,32,,,,,,,,,,,,,,,,,,,,,
Sample ,PH ,TDS (ppt),Salinity(ppt),Temperature,DO (mg/L),Conductivity (mS),,,Site 1      R1,48,72,15,47,21,63,,,4,7.22,7.68,,,,,,,,,,,,,7,42,22.67,,,,,,,,,,,,,,,,,,,,,
Site 1    R1,8.18,15.8,19.69,28,7.36,23.2,,,                   R2     ,50,76,15,155,68,207,,,5,6.39,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R2,8.24,21.2,27.23,28.2,5.69,31.2,,,                   R3,51,74,15,84,37,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R3,8.23,17.54,22.07,28.1,6.112,25.8,,,Mean ,49.67,74,15,95.33,42,127.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,8.22,18.18,23.00,28.1,6.39,26.73,,,SD,1.53,2,0,54.88,23.90,73.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.03,2.76,3.85,0.1,0.87,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Site 2      R1,49,73,15,102,44,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site 2    R1,8.24,17.7,22.31,28.2,4.48,26.1,,,                   R2     ,52,78,16,22,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R2,8.24,21.3,27.36,28.1,6.523,31.3,,,                   R3,46,69,14,35,15,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R3,8.23,17.78,22.4,28,6.113,26,,,Mean ,49,73.33,15,53,22.67,70.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,8.24,18.93,24.02,28.1,5.71,27.8,,,SD,3,4.51,1,42.93,18.72,57.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,2.06,2.89,0.1,1.08,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
